"编号","源文件","行","组件/函数","控件","显示文字或动态表达式","点击/输入事件","表单提交","外部表单","禁用条件","显示条件","静态处理路径","所属文件问题（不代表此控件已复现）","证据边界"
"CTRL-0525","src/normalized-ui/CustodyDepositCapture.tsx","6","CustodyFractionSelect","select","瓶内剩余比例","{""onChange"":""e=>{const f=custodyFractions.find(f=>f[0]===e.target.value);if(f)onChange(f[2]);else onChange('')}""}","","","","unit==='瓶'","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0526","src/normalized-ui/CustodyDepositCapture.tsx","18","CustodyDepositCapture","input","存酒联系手机号","{""onChange"":""e=>onChange({...value,phone:e.target.value})""}","","","disabled","currentPhone","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0527","src/normalized-ui/CustodyDepositCapture.tsx","18","CustodyDepositCapture","button","使用会员登记手机号","{""onClick"":""()=>onChange({...value,phone:null})""}","","","disabled","value.phone&&currentPhone","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0528","src/normalized-ui/CustodyDepositCapture.tsx","20","CustodyDepositCapture","button","拍摄并使用","{""onClick"":""capture""}","","","disabled||!ready","camera","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0529","src/normalized-ui/CustodyDepositCapture.tsx","20","CustodyDepositCapture","button","关闭摄像头","{""onClick"":""stop""}","","","","camera","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0530","src/normalized-ui/CustodyDepositCapture.tsx","20","CustodyDepositCapture","button","{starting?'正在打开摄像头…':value.photoBase64?'重新拍照':'打开摄像头拍照'}","{""onClick"":""()=>void start()""}","","","disabled||starting","camera","已定义交互事件","","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0531","src/normalized-ui/CustodyReportPanel.tsx","11","CustodyReportPanel","summary","数据中心：选择统计范围","{}","","","","","浏览器原生展开/收起","SYS-299","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0532","src/normalized-ui/CustodyReportPanel.tsx","12","CustodyReportPanel","select","存酒单 消费订单 全部（分别统计）","{""onChange"":""e=>{setScope(e.target.value);setResult(null)}""}","","","busy","","已定义交互事件","SYS-299","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0533","src/normalized-ui/CustodyReportPanel.tsx","13","CustodyReportPanel","input","报表会员号","{""onChange"":""e=>{setMember(e.target.value);setResult(null)}""}","","","busy","","已定义交互事件","SYS-299","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0534","src/normalized-ui/CustodyReportPanel.tsx","13","CustodyReportPanel","input","报表品类名称或代码","{""onChange"":""e=>{setCategory(e.target.value);setResult(null)}""}","","","busy","","已定义交互事件","SYS-299","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0535","src/normalized-ui/CustodyReportPanel.tsx","13","CustodyReportPanel","input","报表开始日期","{""onChange"":""e=>{setFrom(e.target.value);setResult(null)}""}","","","busy","","已定义交互事件","SYS-299","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0536","src/normalized-ui/CustodyReportPanel.tsx","13","CustodyReportPanel","input","报表结束日期","{""onChange"":""e=>{setTo(e.target.value);setResult(null)}""}","","","busy","","已定义交互事件","SYS-299","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0537","src/normalized-ui/CustodyReportPanel.tsx","14","CustodyReportPanel","button","查询统计","{""onClick"":""()=>void run(()=>query())""}","","","busy","","已定义交互事件","SYS-299","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0538","src/normalized-ui/CustodyReportPanel.tsx","14","CustodyReportPanel","button","导出所选范围","{""onClick"":""()=>void run(async()=>{const url='/api/staff/bottle-custody/report-export',body=input(),data=await executeRecoverableCommand(`${auth.employee.id}:${url}`,body,createIdempotencyKey('custody-report'),key=>api.postEndpoint<{base64:string;filename:string}>(url,body,{idempotencyKey:key}));const link=document.createElement('a'),objectUrl=URL.createObjectURL(new Blob([Uint8Array.from(atob(data.base64),c=>c.charCodeAt(0))],{type:'application/vnd.openxmlformats-officedocument.spreadsheetml.sheet'}));link.href=objectUrl;link.download=data.filename;link.click();setTimeout(()=>URL.revokeObjectURL(objectUrl),1000);setMessage('报表已导出')})""}","","","busy||!auth.permissions.includes('bottle.custody.export')","","已定义交互事件","SYS-299","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0539","src/normalized-ui/CustodyReportPanel.tsx","16","CustodyReportPanel","button","下一页报表","{""onClick"":""()=>void run(()=>query(result.nextOffset!))""}","","","busy","result?.nextOffset!=null","已定义交互事件","SYS-299","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0540","src/normalized-ui/CustomerExperienceAnalyticsPanel.tsx","139","CustomerExperienceAnalyticsPanel","select","最近7天 最近28天 最近84天","{""onChange"":""(event) => setDays(event.target.value)""}","","","","","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0541","src/normalized-ui/CustomerExperienceAnalyticsPanel.tsx","143","CustomerExperienceAnalyticsPanel","button","{busy ? '读取中' : '刷新'}","{""onClick"":""() => void load()""}","","","busy","","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0542","src/normalized-ui/CustomerExperienceAnalyticsPanel.tsx","146","CustomerExperienceAnalyticsPanel","form","商品 全部商品 {productOptions.map((item) => <option value={item.id} key={item.id}>{item.name}</option>)} 套餐（强订单行） 全部套餐 {(view?.packageOptions ?? []).map((item) => ( <option value={item.productId} key={item.productId}>{item.productName}</option> ))} 记录员工（仅观察） 全部员工 {employeeOptions.map((item) => <option value={item.id} key={item.id}>{item.name}</option>)} 桌号 人数 来店场景（同桌事实） 全部场景 商务 朋友聚会 约会 生日 音乐 放松 其他 客群（暂不可用） 缺事件时点分群事实 演出阶段 全部阶段 演出前 弹唱 乐队现场 中场 演出后 推荐结果（仅推荐） 全部结果 已付款 已退款 有订单投诉 同桌后续付款 后续同品复购 贡献金额缺成本 应用筛选 清除","{""onSubmit"":""(event) => {\n      event.preventDefault(); setAppliedFilters({ ...draftFilters })\n    }""}","","","","","已定义交互事件","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0543","src/normalized-ui/CustomerExperienceAnalyticsPanel.tsx","150","CustomerExperienceAnalyticsPanel","select","全部商品 {productOptions.map((item) => <option value={item.id} key={item.id}>{item.name}</option>)}","{""onChange"":""(event) => setDraftFilters({ ...draftFilters,productId:event.target.value })""}","(event) => {
      event.preventDefault(); setAppliedFilters({ ...draftFilters })
    }","","","","所属表单：(event) => {
      event.preventDefault(); setAppliedFilters({ ...draftFilters })
    }","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0544","src/normalized-ui/CustomerExperienceAnalyticsPanel.tsx","156","CustomerExperienceAnalyticsPanel","select","全部套餐 {(view?.packageOptions ?? []).map((item) => ( <option value={item.productId} key={item.productId}>{item.productName}</option> ))}","{""onChange"":""(event) => setDraftFilters({\n          ...draftFilters,packageProductId:event.target.value,\n        })""}","(event) => {
      event.preventDefault(); setAppliedFilters({ ...draftFilters })
    }","","","","所属表单：(event) => {
      event.preventDefault(); setAppliedFilters({ ...draftFilters })
    }","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0545","src/normalized-ui/CustomerExperienceAnalyticsPanel.tsx","166","CustomerExperienceAnalyticsPanel","select","全部员工 {employeeOptions.map((item) => <option value={item.id} key={item.id}>{item.name}</option>)}","{""onChange"":""(event) => setDraftFilters({ ...draftFilters,employeeId:event.target.value })""}","(event) => {
      event.preventDefault(); setAppliedFilters({ ...draftFilters })
    }","","","","所属表单：(event) => {
      event.preventDefault(); setAppliedFilters({ ...draftFilters })
    }","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0546","src/normalized-ui/CustomerExperienceAnalyticsPanel.tsx","172","CustomerExperienceAnalyticsPanel","input","桌号","{""onChange"":""(event) => setDraftFilters({ ...draftFilters,tableCode:event.target.value })""}","(event) => {
      event.preventDefault(); setAppliedFilters({ ...draftFilters })
    }","","","","所属表单：(event) => {
      event.preventDefault(); setAppliedFilters({ ...draftFilters })
    }","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0547","src/normalized-ui/CustomerExperienceAnalyticsPanel.tsx","176","CustomerExperienceAnalyticsPanel","input","人数","{""onChange"":""(event) => setDraftFilters({ ...draftFilters,partySize:event.target.value })""}","(event) => {
      event.preventDefault(); setAppliedFilters({ ...draftFilters })
    }","","","","所属表单：(event) => {
      event.preventDefault(); setAppliedFilters({ ...draftFilters })
    }","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0548","src/normalized-ui/CustomerExperienceAnalyticsPanel.tsx","180","CustomerExperienceAnalyticsPanel","select","全部场景 商务 朋友聚会 约会 生日 音乐 放松 其他","{""onChange"":""(event) => setDraftFilters({ ...draftFilters,occasion:event.target.value })""}","(event) => {
      event.preventDefault(); setAppliedFilters({ ...draftFilters })
    }","","","","所属表单：(event) => {
      event.preventDefault(); setAppliedFilters({ ...draftFilters })
    }","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
"CTRL-0549","src/normalized-ui/CustomerExperienceAnalyticsPanel.tsx","188","CustomerExperienceAnalyticsPanel","select","缺事件时点分群事实","{}","(event) => {
      event.preventDefault(); setAppliedFilters({ ...draftFilters })
    }","","true","","所属表单：(event) => {
      event.preventDefault(); setAppliedFilters({ ...draftFilters })
    }","SYS-300","定义与绑定已登记；业务结果按闭环表核对，不能将源码登记或同名按钮可见计为逐实例通过"
